Paper Id,Image ID,Paper Title,Key Words,Abstract,Conclusion,Paper Type,Summarization,Topic
284,,Comparing different supervised machine learning algorithms for disease prediction,"Machine learning, Supervised machine learning algorithm, Medical data, Disease prediction","Background: Supervised machine learning algorithms have been a dominant method in the data mining field. Disease prediction using health data has recently shown a potential application area for these methods. This study aims to identify the key trends among different types of supervised machine learning algorithms, and their performance and usage for disease risk prediction. Methods: In this study, extensive research efforts were made to identify those studies that applied more than one supervised machine learning algorithm on single disease prediction. Two databases (i.e., Scopus and PubMed) were searched for different types of search items. Thus, we selected 48 articles in total for the comparison among variants supervised machine learning algorithms for disease prediction. Results: We found that the Support Vector Machine (SVM) algorithm is applied most frequently (in 29 studies) followed by the Naïve Bayes algorithm (in 23 studies). However, the Random Forest (RF) algorithm showed superior accuracy comparatively. Of the 17 studies where it was applied, RF showed the highest accuracy in 9 of them, i.e., 53%. This was followed by SVM which topped in 41% of the studies it was considered. Conclusion: This study provides a wide overview of the relative performance of different variants of supervised machine learning algorithms for disease prediction. This important information of relative performance can be used to aid researchers in the selection of an appropriate supervised machine learning algorithm for their studies.","This research attempted to study comparative performances of different supervised machine learning algorithms in disease prediction. Since clinical data and research scope varies widely between disease prediction studies, a comparison was only possible when a common benchmark on the dataset and scope is established. Therefore, we only chose studies that implemented multiple machine learning methods on the same data and disease prediction for comparison. Regardless of the variations on frequency and performances, the results show the potential of these families of algorithms in the disease prediction.",Deep Learning and Machine Learning,"This study aimed to compare the performance and usage of different types of supervised machine learning algorithms for disease risk prediction. The researchers conducted extensive research and selected 48 articles from Scopus and PubMed databases that applied more than one supervised machine learning algorithm on single disease prediction. The results showed that Support Vector Machine (SVM) was the most frequently applied algorithm, followed by Naïve Bayes, while Random Forest (RF) algorithm showed superior accuracy comparatively. RF had the highest accuracy in 53% of the studies where it was applied, followed by SVM which topped in 41% of the studies. The study provides important information on the relative performance of different supervised machine learning algorithms for disease prediction, which can aid researchers in selecting an appropriate algorithm for their studies.",Deep Learning and Machine Learning
285,,Deep gluteal syndrome is defned as a non‑discogenic sciatic nerve disorder with entrapment in the deep gluteal space: a systematic review,"Hip , Deep gluteal syndrome , Disease defnition , Diagnostic pathway , Systematic review.","Purpose Clinicians are not confident in diagnosing deep gluteal syndrome (DGS) because of the ambiguity of the DGS disease definition and DGS diagnostic pathway. The purpose of this systematic review was to identify the DGS disease definition, and also to define a general DGS diagnostic pathway. Methods A systematic search was performed using four electronic databases: PubMed, MEDLINE, EMBASE, and Google Scholar. In eligibility criteria, studies in which cases were explicitly diagnosed with DGS were included, whereas review articles and commentary papers were excluded. Data are presented descriptively. Results The initial literature search yielded 359 articles, of which 14 studies met the eligibility criteria, pooling 853 patients with clinically diagnosed with DGS. In this review, it was discovered that the DGS disease definition was composed of three parts: (1) non-discogenic, (2) sciatic nerve disorder, and (3) nerve entrapment in the deep gluteal space. In the diagnosis of DGS, we found five diagnostic procedures: (1) history taking, (2) physical examination, (3) imaging tests, (4) response-to-injection, and (5) nerve-specific tests (electromyography). History taking (e.g. posterior hip pain, radicular pain, and difficulty sitting for 30 min), physical examination (e.g. tenderness in deep gluteal space, pertinent positive results with seated piriformis test, and positive Pace sign), and imaging tests (e.g. pelvic radiographs, spine and pelvic magnetic resonance imaging (MRI)) were generally performed in cases clinically diagnosed with DGS. Conclusion Existing literature suggests the DGS disease definition as being a non-discogenic sciatic nerve disorder with entrapment in the deep gluteal space. Also, the general diagnostic pathway for DGS was composed of history taking (posterior hip pain, radicular pain, and difficulty sitting for 30 min), physical examination (tenderness in deep gluteal space, positive seated piriformis test, and positive Pace sign), and imaging tests (pelvic radiographs, pelvic MRI, and spine MRI). This review helps clinicians diagnose DGS with more confidence.","The DGS disease defnition was identifed as being a non-discogenic sciatic nerve disorder with entrapment in the deep gluteal space. Also, we proposed the general diagnostic pathway for DGS using history taking (posterior hip pain, radicular pain, and difficulty sitting for more than 30 min), physical examination (tenderness in deep gluteal space, pertinent positive results with seated piriformis test, and positive Pace sign), and imaging tests (pelvic radiographs, pelvic MRI, and spine MRI).",Medical Data Analysis,"This systematic review aimed to identify the disease definition and diagnostic pathway for deep gluteal syndrome (DGS), a condition that clinicians may struggle to diagnose due to its ambiguous definition and diagnostic pathway. Four electronic databases were searched, yielding 14 studies that met the eligibility criteria, involving 853 patients with clinically diagnosed DGS. The review identified the DGS disease definition as a non-discogenic sciatic nerve disorder with entrapment in the deep gluteal space, and proposed a general diagnostic pathway using history taking, physical examination, and imaging tests. The history taking should include posterior hip pain, radicular pain, and difficulty sitting for more than 30 minutes, while the physical examination should involve tenderness in the deep gluteal space, pertinent positive results with the seated piriformis test, and positive Pace sign. The imaging tests should include pelvic radiographs, pelvic MRI, and spine MRI. This review provides useful information for clinicians to diagnose DGS with more confidence.",Medical Data Analysis
286,,"Leveraging Computational Intelligence Techniques for Diagnosing Degenerative Nerve Diseases: A Comprehensive Review, Open Challenges, and Future Research Directions",degenerative nerve diseases; neurodegenerative disorder; machine learning; deep learning; progressive brain diseases; diagnosis,"Degenerative nerve diseases such as Alzheimer’s and Parkinson’s diseases have always been a global issue of concern. Approximately 1/6th of the world’s population suffers from these disorders, yet there are no definitive solutions to cure these diseases after the symptoms set in. The best way to treat these disorders is to detect them at an earlier stage. Many of these diseases are genetic; this enables machine learning algorithms to give inferences based on the patient’s medical records and history. Machine learning algorithms such as deep neural networks are also critical for the early identification of degenerative nerve diseases. The significant applications of machine learning and deep learning in early diagnosis and establishing potential therapies for degenerative nerve diseases have motivated us to work on this review paper. Through this review, we covered various machine learning and deep learning algorithms and their application in the diagnosis of degenerative nerve diseases, such as Alzheimer’s disease and Parkinson’s disease. Furthermore, we also included the recent advancements in each of these models, which improved their capabilities for classifying degenerative nerve diseases. The limitations of each of these methods are also discussed. In the conclusion, we mention open research challenges and various alternative technologies, such as virtual reality and Big data analytics, which can be useful for the diagnosis of degenerative nerve diseases.","Degenerative nerve diseases have been a popular topic of interest for a very long time. These disorders are untreatable and worsen the patient’s condition with time. The only measure we can currently take is to slow down the progression of these diseases. The early diagnosis of these diseases can enable patients to practice preventive measures before the disease progresses to an uncontrollable stage; hence, the early diagnosis and progression tracking of these disorders are crucial. Through this paper, we assessed the role of machine learning and deep learning in the diagnosis of these disorders and identified various algorithms that have shown promising results when used for the diagnosis of degenerative nerve diseases. Recent developments in each of these algorithms, such as the use of a hybrid clustering and DBN to improve the scalability and accuracy of classification of patients with Parkinson’s disease or a combination of sliding window approach and k-means clustering and dynamic network analyses for diagnosing dementia patients, show the immense potential that the various ML and DL algorithms have in the early diagnosis and tracking of these diseases. In the models we surveyed, we found that artificial neural networks and deep neural networks, including deep CNNs and deep belief networks, are the most promising algorithms for detecting degenerative nerve diseases. However, we found out that the use of ML and DL is still plagued by major challenges such as a lack of available data and lower scalability and accuracy. Hence, the future direction of research on using ML and DL to diagnose degenerative nerve diseases should be to overcome these challenges. Apart from machine learning and deep learning, there are a few other promising technologies such as the Internet of Things, digital twin, quantum computing, and Big data analytics, among others, that can potentially be helpful in the diagnosis of degenerative nerve diseases in the future.",Deep Learning and Machine Learning,"This review paper focuses on the role of machine learning (ML) and deep learning (DL) algorithms in the early diagnosis and tracking of degenerative nerve diseases such as Alzheimer's and Parkinson's disease. The paper covers various ML and DL algorithms and their recent advancements, such as artificial neural networks, deep CNNs, and deep belief networks, that have shown promising results in diagnosing these diseases. However, the paper also discusses the limitations of these methods, such as a lack of available data and lower scalability and accuracy. The conclusion highlights the importance of early diagnosis and progression tracking of these diseases and suggests alternative technologies such as IoT, digital twin, quantum computing, and Big data analytics that can potentially be helpful in the diagnosis of degenerative nerve diseases in the future.",Deep Learning and Machine Learning
287,,Gut Microbiota Are Related to Parkinson’s Disease and Clinical Phenotype,microbiome; gastrointestinal dysfunction; biomarker; gut-brain-axis; non-motor symptoms.,"In the course of Parkinson’s disease (PD), the enteric nervous system (ENS) and parasympathetic nerves are amongst the structures earliest and most frequently affected by alpha-synuclein pathology. Accordingly, gastrointestinal dysfunction, in particular constipation, is an important non-motor symptom in PD and often precedes the onset of motor symptoms by years. Recent research has shown that intestinal microbiota interact with the autonomic and central nervous system via diverse pathways including the ENS and vagal nerve. The gut microbiome in PD has not been previously investigated. We compared the fecal microbiomes of 72 PD patients and 72 control subjects by pyrosequencing the V1–V3 regions of the bacterial 16S ribosomal RNA gene. Associations between clinical parameters and microbiota were analyzed using generalized linear models, taking into account potential confounders. On average, the abundance of Prevotellaceae in feces of PD patients was reduced by 77.6% as compared with controls. Relative abundance of Prevotellaceae of 6.5% or less had 86.1% sensitivity and 38.9% specificity for PD. A logistic regression classifier based on the abundance of four bacterial families and the severity of constipation identified PD patients with 66.7% sensitivity and 90.3% specificity. The relative abundance of Enterobacteriaceae was positively associated with the severity of postural instability and gait difficulty. These findings suggest that the intestinal microbiome is altered in PD and is related to motor phenotype. Further studies are warranted to elucidate the temporal and causal relationships between gut microbiota and PD and the suitability of the microbiome as a biomarker.","Our findings shed new light on previous reports regarding gastrointestinal involvement in PD. Investigating whether high abundance of Prevotellaceae has protective effects against PD or whether low abundance is rather an indicator of disturbed mucosal barrier function will be important. Although very sensitive, low Prevotellaceae levels alone are not specific for PD. Inclusion of other bacterial families may increase accuracy, and further exploring the potential of fecal microbiome analysis as a biomarker for PD seems worthwhile. Further studies may elucidate the temporal and causal relationships between gut microbiota and PD and the mechanisms involved.",Medical Data Analysis,This study investigated the fecal microbiomes of Parkinson's disease (PD) patients and control subjects and found that the abundance of Prevotellaceae was reduced in PD patients by 77.6% on average. The study also found a positive association between the abundance of Enterobacteriaceae and the severity of postural instability and gait difficulty in PD patients. The findings suggest that the intestinal microbiome is altered in PD and is related to motor phenotype. Further studies are warranted to explore the potential of fecal microbiome analysis as a biomarker for PD and elucidate the temporal and causal relationships between gut microbiota and PD.,Medical Data Analysis
288,,HIGH RESOLUTION ULTRASOUND IN POSTERIOR INTEROSSEOUS NERVE SYNDROME,arcade of Frohse; compression neuropathy; high-resolution ultrasound; posterior interosseous nerve; radial nerve; supinator muscle,"Introduction: Posterior interosseous nerve (PIN) syndrome is a rare compression neuropathy of the PIN in the region of the supinator muscle, most common by the arcade of Frohse. We aimed to specify ultrasonographic findings in patients with PIN syndrome in comparison to healthy volunteers. Methods: Ultrasound images and clinical data of 13 patients with PIN syndrome confirmed by neurological examination and electrophysiological testing were evaluated retrospectively. Anteroposterior nerve diameters measured at the arcade of Frohse were compared with those of 20 healthy volunteers. The echotexture and the presence of a caliber change of the PIN were additionally assessed. Results: Enlargement of the PIN was seen in all patients with PIN syndrome, but not in volunteers (statistically significant difference in mean diameter P < 0.05). Furthermore, edema and caliber change of the PIN were present in all patients. Conclusions: High-resolution ultrasound allows for differentiation between patients with PIN syndrome and healthy volunteers.","HRUS is an essential tool in the work-up of a patient with PIN syndrome. As the clinical and electrodiagnostic presentation of a PIN syndrome is straightforward, sonography is definitely not needed to define the syndrome itself, although it can confirm the syndrome in doubtful cases by demonstrating the typical findings of nerve compression, including fascicular loss due to edema, impaired echogenic texture, and caliber change. However, HRUS is indispensable for the diagnosis of a “primary” PIN syndrome by providing a quick, inexpensive, and reliable method to exclude other sources of PIN compression apart from the arcade of Frohse.",Medical Data Analysis,"This article discusses the use of high-resolution ultrasound (HRUS) to diagnose posterior interosseous nerve (PIN) syndrome, a rare compression neuropathy. The study evaluated ultrasound images and clinical data of 13 patients with PIN syndrome and 20 healthy volunteers. The results showed that HRUS allows for differentiation between patients with PIN syndrome and healthy volunteers. HRUS can confirm the syndrome in doubtful cases by demonstrating the typical findings of nerve compression. However, HRUS is also indispensable for the diagnosis of a ""primary"" PIN syndrome by providing a quick, inexpensive, and reliable method to exclude other sources of PIN compression apart from the arcade of Frohse.",Medical Data Analysis
289,,New research advances of facial expression recognition,"Face recognition
,
Feature extraction
,
Facial features
,
Image motion analysis
,
Face detection
,
Nonlinear optics
,
Optical sensors
,
Data mining
,
Image sequences
,
Machine learning","As an important part of the technology for human-machine interface, facial expression recognition (FER) draws much attention recently and numerous methods are proposed. In this survey we present the facial expression recognition research and characteristics which focus on the development in the past five years. A new classification method of feature extraction is proposed in this paper, through which we can realize the development trend of feature extraction methods. Currently, the automatic and multi-scale methods of feature extraction are widely used. With the rapid development of the technology of three-dimensional model, some novel methods are used to feature extraction. At the same time, improved expression classification methods (ANN, SVM, HMM) are emphasized. Lastly, we demonstrate the state and possible challenges of the technology of FER and provide some valuable advices about the development trend of FER","Analysis of facial expression is an intriguing problem which humans solve with quite an apparent ease. But much work has to be done in the field of automatic facial expression, such as:

It is unrealistic in these application domains that frontal view image of faces without hair, glasses and young people without permanent wrinkles.

It is unrealistic that all facial expression can be displayed by the six basic emotion categories. Yet, none of these systems performs quantification of the facial action codes.

More work has to be done in the field of automatic facial expression interpretation with regard to the integration of other communication channels such as voice and gesture.

There are still much work to do in order that the system can analyze both static images and image sequences.

The technology of facial expression recognition can be applied greatly and has enormous market potential, such as, safety driving assistance, safety monitoring, interactive distance education and so on. The research of it has great significance and it needs to be further researched for a long time.",Deep Learning and Machine Learning,"The article discusses the growing interest in facial expression recognition (FER) as a crucial aspect of human-machine interface technology, and presents an overview of FER research and characteristics over the past five years. The article proposes a new classification method of feature extraction, which emphasizes the automatic and multi-scale methods currently in use, as well as novel methods utilizing three-dimensional models. The article also emphasizes the need for improved expression classification methods and outlines possible challenges and future directions for FER development, including the integration of other communication channels and the analysis of static images and image sequences. The article concludes that FER has significant market potential in various applications, and further research is needed to advance the technology.



",Deep Learning and Machine Learning
290,,A Review on Facial Expression Recognition: Feature Extraction and Classification,":Dynamic image , sequence facial expression , facial expression classification , facial feature extraction , human–computer interaction , static images","Facial expression recognition (FER) is currently a very active research topic in the fields of computer vision, pattern recognition, artificial intelligence, and has drawn extensive attentions owing to its potential applications to natural human–computer interaction (HCI), human emotion analysis, interactive video, image indexing and retrieval, etc. This paper is a survey of FER addressing the most two important aspects of designing an FER system. The first one is facial feature extraction for static images and dynamic image sequences. The second one is facial expression classification. Conclusions and future work are finally discussed in the last section of this survey.","In conclusion, Facial Expression Recognition (FER) has gained significant attention and has become a prominent research topic in various fields such as computer vision, pattern recognition, and artificial intelligence. Its potential applications in natural human-computer interaction, human emotion analysis, and image indexing and retrieval make it an exciting area of research. This survey paper has presented an overview of FER, focusing on the crucial aspects of facial feature extraction and facial expression classification. The survey has highlighted various techniques used for feature extraction and expression classification, and their strengths and limitations. The future work in FER includes integration with other communication channels and the analysis of static images and image sequences, which would enhance the accuracy and usability of FER systems. Overall, this survey provides valuable insights into the current state of FER and offers suggestions for future research in this area.",Deep Learning and Machine Learning,"Facial Expression Recognition (FER) is a highly active area of research in computer vision, pattern recognition, and artificial intelligence. FER has gained extensive attention due to its potential applications in natural human-computer interaction, human emotion analysis, and image indexing and retrieval. This survey paper provides an overview of FER, emphasizing two crucial aspects of designing an FER system, namely facial feature extraction and facial expression classification. The survey discusses various techniques used for feature extraction and expression classification, and their strengths and limitations. Additionally, future work in FER includes integrating with other communication channels and analyzing static images and image sequences to enhance the accuracy and usability of FER systems. Overall, this survey offers valuable insights into the current state of FER and presents suggestions for future research in this field.",Deep Learning and Machine Learning
291,,Facial Expression Recognition Using Facial Movement Features,"Feature extraction
,
Face recognition
,
Training
,
Human factors
,
Shape analysis","Facial expression is an important channel for human communication and can be applied in many real applications. One critical step for facial expression recognition (FER) is to accurately extract emotional features. Current approaches on FER in static images have not fully considered and utilized the features of facial element and muscle movements, which represent static and dynamic, as well as geometric and appearance characteristics of facial expressions. This paper proposes an approach to solve this limitation using ""salient” distance features, which are obtained by extracting patch-based 3D Gabor features, selecting the ""salient” patches, and performing patch matching operations. The experimental results demonstrate high correct recognition rate (CRR), significant performance improvements due to the consideration of facial element and muscle movements, promising results under face registration errors, and fast processing time. Comparison with the state-of-the-art performance confirms that the proposed approach achieves the highest CRR on the JAFFE database and is among the top performers on the Cohn-Kanade (CK) database.","This paper explores the issue of facial expression recognition using facial movement features. The effectiveness of the proposed approach is testified by the recognition performance, computational time, and comparison with the state-of-the-art performance. The experimental results also demonstrate significant performance improvements due to the consideration of facial movement features and promising performance under face registration errors.

The results indicate that patch-based Gabor features show a better performance over point-based Gabor features in terms of extracting regional features, keeping the position information, achieving a better recognition performance, and requiring a less number. Different emotions have different “salient” areas; however, the majority of these areas are distributed around mouth and eyes. In addition, these “salient” areas for each emotion seem to not be influenced by the choice of using point-based or using patch-based features. The “salient” patches are distributed across all scales with an emphasis on the higher scales. For both the JAFFE and CK databases, DL2 performs the best among four distances. As for emotion, anger contributes most to the misrecognition. The JAFFE database requires larger sizes of patches than the CK database to keep useful information.

The proposed approach can be potentially applied into many applications, such as patient state detection, driver fatigue monitoring, and intelligent tutoring system. In our future work, we will extend our approach to a video-based FER system by combining patch-based Gabor features with motion information in multiframes. Recent progress on action recognition [47] and face recognition [48] has laid a foundation for using both appearance and motion features.",Deep Learning and Machine Learning,"The paper proposes an approach to improve the accuracy of facial expression recognition (FER) in static images by considering facial element and muscle movements using salient distance features. The approach uses patch-based 3D Gabor features to extract features, select ""salient"" patches, and perform patch matching operations. The proposed approach shows high correct recognition rate (CRR), significant performance improvements, promising results under face registration errors, and fast processing time. The approach can potentially be applied in various real-world applications such as patient state detection and driver fatigue monitoring. The future work involves extending the approach to video-based FER systems by combining patch-based Gabor features with motion information.",Deep Learning and Machine Learning
292,,Facial Expression Recognition: A Survey,Facial Expression Recognition(FER)LBPLDPLGCHOG ;,"Automatic facial expression recognition system has many applications including, but not limited to, human behavior understanding, detection of mental disorders, and synthetic human expressions. Two popular methods utilized mostly in the literature for the automatic FER systems are based on geometry and appearance. Even though there is lots of research using static images, the research is still going on for the development of new methods which would be quiet easy in computation and would have less memory usage as compared to previous methods. This paper presents a quick survey of facial expression recognition. A comparative study is also carried out using various feature extraction techniques on JAFFE dataset.","Facial Expression recognition has increasing application areas and requires more accurate and reliable FER
system. This paper has presented a survey on facial expression recognition. Recent feature extraction techniques are
covered along with comparison. The research is still going on (i) to increase the accuracy rate of predicting the
expressions, (ii) to have applications based on dynamic images/sequence of images/videos, (iii) to handle the
occlusion. ",Deep Learning and Machine Learning,"In summary, automatic facial expression recognition has many applications, and there are two popular methods based on geometry and appearance. While there has been much research using static images, the development of new methods that are computationally efficient and have less memory usage is ongoing. This paper provides a survey of facial expression recognition and a comparative study of feature extraction techniques using the JAFFE dataset. The goal is to increase the accuracy rate, develop applications based on dynamic images, and handle occlusion.",Deep Learning and Machine Learning
293,,A 3D facial expression database for facial behavior research,"Face recognition
,
Humans
,
Shape
,
Magnetic heads
,
Information analysis
,
Image databases
,
Video sequences
,
Facial animation
,
Space exploration
,
Pattern recognition","Traditionally, human facial expressions have been studied using either 2D static images or 2D video sequences. The 2D-based analysis is incapable of handing large pose variations. Although 3D modeling techniques have been extensively used for 3D face recognition and 3D face animation, barely any research on 3D facial expression recognition using 3D range data has been reported. A primary factor for preventing such research is the lack of a publicly available 3D facial expression database. In this paper, we present a newly developed 3D facial expression database, which includes both prototypical 3D facial expression shapes and 2D facial textures of 2,500 models from 100 subjects. This is the first attempt at making a 3D facial expression database available for the research community, with the ultimate goal of fostering the research on affective computing and increasing the general understanding of facial behavior and the fine 3D structure inherent in human facial expressions. The new database can be a valuable resource for algorithm assessment, comparison and evaluation","The paper presents a new 3D facial expression database, which includes both 3D facial expression shapes and 2D facial textures of 2,500 models from 100 subjects. This database is the first of its kind and can be used for research on affective computing and for increasing the general understanding of facial behavior and fine 3D structure in human facial expressions. The database can serve as a valuable resource for algorithm assessment, comparison, and evaluation.",Deep Learning and Machine Learning,"This paper discusses the limitations of studying human facial expressions using 2D images or videos and the lack of research on 3D facial expression recognition using 3D range data. The authors present a newly developed 3D facial expression database, including both 3D facial expression shapes and 2D facial textures of 2,500 models from 100 subjects, which is the first of its kind and can serve as a valuable resource for algorithm assessment, comparison, and evaluation. The ultimate goal of the database is to foster research on affective computing and increase the general understanding of facial behavior and the fine 3D structure inherent in human facial expressions.



",Deep Learning and Machine Learning
294,,Facial Expression Recognition on Static Images,"Machine learning
Deep learning
Convolutional neural network
Facial expression recognition","Facial expression recognition (FER) is currently one of the most attractive and also the most challenging topics in the computer vision and artificial fields. FER applications are ranging from medical treatment, virtual reality, to driver fatigue surveillance, and many other human-machine interaction systems. Benefit from the recent success of deep learning techniques, especially the invention of convolution neural networks (CNN), various end-to-end deep learning-based FER systems have been proposed in the past few years. However, overfitting caused by a lack of training data is still the big challenge that almost all deep FER systems have to put into a concern to achieve high-performance accuracy. In this paper, we are going to build a FER model to recognize eight commons emotions: neutral, happiness, sadness, surprise, fear, disgust, anger, and contempt on the AffectNet dataset. In order to mitigate the effect of small training data, which is prone to overfitting, we proposed a thoughtful transfer learning framework. Specifically, we fine-tuning ResNet-50 model, which is pre-trained on ImageNet dataset for object detection task, on the AffectNet dataset to recognize eight above mentioned face emotions. Experiment results demonstrate the effectiveness of our proposed FER model.","Over the past several years, deep CNN has significantly boosted the performance of many systems in visual classification field. Likewise, deep CNNs have increasingly been used in FER task on static images. However, the lack of relatively enough emotion training data causes overfitting issues for almost FER system. In this paper, we proposed a deep transfer learning framework to mitigate the overfitting problem, which improves the discriminative power of our FER model. Nonetheless, the recognition accuracy is still not meet our expectation. This may be caused by the high imbalance of AffectNet data where the number of sample of major classes (e.g., Happy and Sad) are much larger than that of minor classes (e.g., Contempt and Disgust). Using different models and training processes as well as apply recently successful loss functions to further boost the performance is still in our future work.

",Deep Learning and Machine Learning,"The paper discusses the challenges and applications of facial expression recognition (FER) and proposes a deep transfer learning framework to recognize eight common emotions on the AffectNet dataset. The proposed framework fine-tunes a pre-trained ResNet-50 model on the AffectNet dataset to mitigate the overfitting problem caused by a lack of training data. The experiment results show the effectiveness of the proposed FER model, although the recognition accuracy is still not satisfactory due to the high imbalance of AffectNet data. The future work includes using different models and training processes and applying successful loss functions to further improve the performance of the FER model.",Deep Learning and Machine Learning
295,,Image based Static Facial Expression Recognition with Multiple Deep Network Learning,,"We report our image based static facial expression recognition method for the Emotion Recognition in the Wild Challenge (EmotiW) 2015. We focus on the sub-challenge of the SFEW 2.0 dataset, where one seeks to automatically classify a set of static images into 7 basic emotions. The proposed method contains a face detection module based on the ensemble of three state-of-the-art face detectors, followed by a classification module with the ensemble of multiple deep convolutional neural networks (CNN). Each CNN model is initialized randomly and pre-trained on a larger dataset provided by the Facial Expression Recognition (FER) Challenge 2013. The pre-trained models are then fine-tuned on the training set of SFEW 2.0. To combine multiple CNN models, we present two schemes for learning the ensemble weights of the network responses: by minimizing the log likelihood loss, and by minimizing the hinge loss. Our proposed method generates state-of-the-art result on the FER dataset. It also achieves 55.96% and 61.29% respectively on the validation and test set of SFEW 2.0, surpassing the challenge baseline of 35.96% and 39.13% with significant gains.","The paper presents a method for static facial expression recognition in the Emotion Recognition in the Wild Challenge (EmotiW) 2015. The proposed method involves a face detection module based on an ensemble of three face detectors and a classification module based on an ensemble of multiple deep convolutional neural networks (CNN). Each CNN model is randomly initialized and pre-trained on a larger dataset provided by the Facial Expression Recognition (FER) Challenge 2013, and then fine-tuned on the training set of SFEW 2.0. To combine multiple CNN models, the paper presents two schemes for learning the ensemble weights of the network responses: by minimizing the log likelihood loss and by minimizing the hinge loss. The proposed method achieved state-of-the-art results on the FER dataset and outperformed the challenge baseline on the SFEW 2.0 dataset, achieving 55.96% and 61.29% accuracy on the validation and test sets, respectively.",Deep Learning and Machine Learning,"This paper presents a method for facial expression recognition in static images for the Emotion Recognition in the Wild Challenge (EmotiW) 2015. The method involves a face detection module based on an ensemble of three face detectors and a classification module based on an ensemble of multiple deep convolutional neural networks (CNN). The CNN models are pre-trained on the Facial Expression Recognition (FER) Challenge 2013 dataset and fine-tuned on the training set of SFEW 2.0. The paper presents two schemes for combining the CNN models: minimizing the log likelihood loss and minimizing the hinge loss. The proposed method achieved state-of-the-art results on the FER dataset and outperformed the challenge baseline on the SFEW 2.0 dataset, achieving 55.96% and 61.29% accuracy on the validation and test sets, respectively.",Deep Learning and Machine Learning
296,,"Facial Expression Recognition with Local Binary Patterns
and Linear Programming",,"—In this work, we propose a novel approach to recognize facial expressions from static images. First,
the local binary patterns (LBP) are used to efficiently represent the facial images and then the linear programming (LP) technique is adopted to classify seven facial expressions—anger, disgust, fear, happiness, sadness,
surprise, and neutral. Experimental results demonstrate an average recognition accuracy of 93.8% in the JAFFE
database, which outperforms the rates of all other reported methods in the same database.","How to get a proper combination for face representation and classification is crucial for facial expression
recognition. The combination of the local binary pattern operator and the linear programming technique is
one solution to this question. The Local Binary Pattern
operator, which has demonstrated excellent performance in texture classification and face recognition, is
used in our method to describe a face efficiently for expression recognition. Then, 21 classifiers are produced based on linear programming technique and
classification is implemented with a binary tree tournament scheme. Experimental results demonstrate that
our method performs better than other methods on the
JAFFE database. These preliminary results are promising and it is of interest to experiment with different
facial expression databases.",Deep Learning and Machine Learning,"The paper proposes a novel approach to facial expression recognition using local binary patterns (LBP) for face representation and linear programming (LP) for classification. The method achieved an average recognition accuracy of 93.8% on the JAFFE database, outperforming all other reported methods. The paper highlights the importance of finding the right combination of face representation and classification for facial expression recognition and suggests that the combination of LBP and LP is a promising approach.",Deep Learning and Machine Learning
297,,A Model Based Method for Automatic Facial Expression Recognition,"Facial Expression
Face Image
Emotional Expression
Hide Neuron
Input Neuron","Automatic facial expression recognition is a research topic with interesting applications in the field of human-computer interaction, psychology and product marketing. The classification accuracy for an automatic system which uses static images as input is however largely limited by the image quality, lighting conditions and the orientation of the depicted face. These problems can be partially overcome by using a holistic model based approach called the Active Appearance Model. A system will be described that can classify expressions from one of the emotional categories joy, anger, sadness, surprise, fear and disgust with remarkable accuracy. It is also able to detect smaller, local facial features based on minimal muscular movements described by the Facial Action Coding System (FACS). Finally, we show how the system can be used for expression analysis and synthesis.","In conclusion, automatic facial expression recognition is an important research area with applications in various fields. However, the accuracy of classification for systems that use static images as input is limited by several factors such as lighting conditions, image quality and facial orientation. One approach to partially overcome these problems is the Active Appearance Model. A system is described that can classify expressions accurately from six emotional categories and can detect small, local facial features based on minimal muscular movements described by FACS. The system can also be used for expression analysis and synthesis.",Deep Learning and Machine Learning,"Automatic facial expression recognition is a significant research topic that has practical applications in human-computer interaction, psychology, and product marketing. However, classification accuracy for systems using static images as input is limited by factors such as image quality, lighting conditions, and facial orientation. The Active Appearance Model can partially overcome these issues, and a system is described that can accurately classify expressions from six emotional categories and detect small, local facial features based on FACS. The system can also be used for expression analysis and synthesis.",Deep Learning and Machine Learning
